date,tic,adjcp,datadate
2010-01-20,CVX,40.79047393798828,20100120
2010-01-20,DIS,26.542360305786133,20100120
2010-01-20,GS,125.98558044433594,20100120
2010-01-20,HD,19.435033798217773,20100120
2010-01-20,IBM,71.2646255493164,20100120
2010-01-20,INTC,13.648921012878418,20100120
2010-01-20,JNJ,40.49686050415039,20100120
2010-01-20,JPM,28.642175674438477,20100120
2010-01-20,KO,16.848817825317383,20100120
2010-01-20,MCD,40.48016357421875,20100120
2010-01-20,MMM,43.65660858154297,20100120
2010-01-20,MRK,22.683191299438477,20100120
2010-01-20,MSFT,22.80895233154297,20100120
2010-01-20,NKE,12.942939758300781,20100120
2010-01-20,PFE,9.691739082336426,20100120
2010-01-20,PG,37.71492385864258,20100120
2010-01-20,TRV,33.57514953613281,20100120
2010-01-20,UNH,26.745502471923828,20100120
2010-01-20,V,19.445077896118164,20100120
2010-01-20,VZ,12.465633392333984,20100120
2010-01-20,WMT,12.8455810546875,20100120
2010-01-20,XOM,37.0214729309082,20100120
2010-01-21,AAPL,6.234403610229492,20100121
2010-01-21,AXP,33.507564544677734,20100121
2010-01-21,BA,46.13084411621094,20100121
2010-01-21,CAT,38.247581481933594,20100121
2010-01-21,CSCO,15.432666778564453,20100121
2010-01-21,CVX,39.793548583984375,20100121
2010-01-21,DIS,26.048784255981445,20100121
2010-01-21,GS,120.78970336914062,20100121
2010-01-21,HD,19.312971115112305,20100121
2010-01-21,IBM,70.58070373535156,20100121
2010-01-21,INTC,13.493526458740234,20100121
2010-01-21,JNJ,39.76337432861328,20100121
2010-01-21,JPM,26.75469970703125,20100121
2010-01-21,KO,16.505779266357422,20100121
2010-01-21,MCD,40.60223388671875,20100121
2010-01-21,MMM,42.61569595336914,20100121
2010-01-21,MRK,22.157989501953125,20100121
2010-01-21,MSFT,22.37648582458496,20100121
2010-01-21,NKE,12.834043502807617,20100121
2010-01-21,PFE,9.351506233215332,20100121
2010-01-21,PG,37.334354400634766,20100121
2010-01-21,TRV,33.5888671875,20100121
2010-01-21,UNH,25.62303924560547,20100121
2010-01-21,V,18.784448623657227,20100121
2010-01-21,VZ,12.433165550231934,20100121
2010-01-21,WMT,12.621390342712402,20100121
2010-01-21,XOM,36.297706604003906,20100121
2010-01-22,AAPL,5.925185203552246,20100122
2010-01-22,AXP,30.670223236083984,20100122
2010-01-22,BA,45.01654052734375,20100122
2010-01-22,CAT,36.498355865478516,20100122
2010-01-22,CSCO,14.782670974731445,20100122
2010-01-22,CVX,38.93231964111328,20100122
2010-01-22,DIS,25.512662887573242,20100122
2010-01-22,GS,115.7214126586914,20100122
2010-01-22,HD,18.79759979248047,20100122
2010-01-22,IBM,68.66573333740234,20100122
2010-01-22,INTC,12.891366958618164,20100122
2010-01-22,JNJ,39.28475570678711,20100122
